longitude,latitude,toll_name,geo_state
78.2134023,19.0990341,Dilawarpur Toll Plaza,Telangana
77.3925734,13.078665,Doddakarenahalli Toll Plaza,Karnataka
77.024003,12.533502,Doddamavathuru Toll Plaza,Karnataka
76.945425,31.720926,Dolhu Nallah Toll Plaza,Himachal Pradesh
72.6733019,26.0627757,Doli Toll Plaza,Rajasthan
74.5745603,20.7662373,Dongrale Toll Plaza,Maharashtra
82.4749002,26.2835982,Dostpur Toll Plaza,Uttar Pradesh
78.8880152,18.0002163,Duddeda Toll Plaza,Telangana
77.47772,28.7379626,Duhai Toll Plaza,Uttar Pradesh
83.3451672,17.8885982,Dukkavanipalem Toll Plaza,Andhra Pradesh
81.633657,27.578462,Dularpur Toll Plaza,Uttar Pradesh
74.0131927,19.2441755,Dumbarwadi Toll Plaza,Maharashtra
70.3209445,21.7495983,Dumiyani Toll Booth NH27,Gujarat
78.7834478,14.624686,Dumpalagattu Paatimeeda Palli Toll Plaza,Andhra Pradesh
